,score,label
6444,0.733165442943573,0
1730,0.48518919944763184,3
4153,0.6159886717796326,4
2759,0.5182380676269531,1
7378,0.5105520486831665,2
2691,0.6029821038246155,1
3617,0.5694929361343384,2
2776,0.6816441416740417,4
2259,0.5122082829475403,1
6028,0.2842964231967926,2
4349,0.250417023897171,3
1451,0.6365643739700317,4
2621,0.4208217263221741,0
224,0.6316287517547607,0
4653,0.5182380676269531,1
5100,0.3823295831680298,2
10151,0.41027718782424927,2
8886,0.6448516249656677,0
3856,0.4628802239894867,2
3295,0.5561912059783936,2
4314,0.38491103053092957,2
10506,0.8651573657989502,4
7209,0.3804600238800049,2
5417,0.7755271196365356,0
3051,0.5332351922988892,0
4013,0.4628802239894867,2
7527,0.8671345114707947,4
4998,0.49048346281051636,0
5552,0.3823295831680298,2
10610,0.41027718782424927,2
7312,0.5310815572738647,0
2352,0.7343462705612183,4
2654,0.8302903175354004,4
12494,0.6927919983863831,4
1480,0.6789342761039734,1
5956,0.6927919983863831,4
35745,0.576064944267273,0
5124,0.3823295831680298,2
3794,0.6121949553489685,2
2314,0.7537524700164795,0
4392,0.6762647032737732,1
5240,0.6773261427879333,0
7843,0.5182380676269531,1
12249,0.88876873254776,0
625,0.7013095617294312,2
6677,0.5638439059257507,4
1150,0.8092161417007446,0
6096,0.250417023897171,3
2812,0.7219235301017761,0
2737,0.3170152008533478,2
6908,0.3170152008533478,2
2816,0.607466459274292,0
5195,0.4628802239894867,2
2225,0.46797236800193787,2
5115,0.8540214896202087,4
1543,0.46749627590179443,3
2357,0.5321063995361328,1
5627,0.6730900406837463,1
811,0.6661339402198792,1
2218,0.7498525381088257,4
2049,0.5272439122200012,2
3506,0.8006587028503418,4
14756,0.733752965927124,0
2474,0.7429149150848389,0
4238,0.250417023897171,3
2904,0.4889845848083496,2
4524,0.5182380676269531,1
3615,0.6996825933456421,0
4281,0.4388135075569153,0
8784,0.6461480259895325,0
690,0.6123179793357849,0
6074,0.6005887985229492,4
2608,0.5897751450538635,2
12447,0.7402011156082153,2
19682,0.38376232981681824,3
2847,0.6616987586021423,1
1953,0.64090496301651,4
6177,0.5559396147727966,2
5113,0.5267042517662048,1
7619,0.42930087447166443,1
1492,0.7771164178848267,0
7125,0.3449254333972931,1
3079,0.35217154026031494,2
2038,0.38779136538505554,2
1299,0.667531430721283,0
3870,0.6296138167381287,0
3507,0.6772052645683289,0
1706,0.5311063528060913,2
1757,0.6315498352050781,2
12842,0.41027718782424927,2
7745,0.250417023897171,3
6958,0.7002232670783997,4
1380,0.7326157093048096,1
11925,0.7184237241744995,2
4858,0.5821018218994141,0
1644,0.6885991096496582,0
9459,0.5182380676269531,1
1436,0.6737117767333984,0
5168,0.3562491238117218,2
3189,0.4256051778793335,0
8366,0.6546812057495117,0
5519,0.9346708059310913,4
6997,0.540611207485199,0
7692,0.7707043886184692,0
11077,0.9261716604232788,1
1756,0.7555511593818665,4
9330,0.3199595808982849,3
2804,0.611332893371582,0
3466,0.6731069087982178,0
4565,0.5489259958267212,2
4415,0.6553367972373962,0
10743,0.5746252536773682,0
7345,0.250417023897171,3
6941,0.5793163180351257,2
4088,0.7581380605697632,4
11751,0.41568320989608765,4
7013,0.787494957447052,0
5836,0.694922685623169,2
13988,0.46057483553886414,0
6709,0.4156408905982971,1
6009,0.6283755302429199,4
1324,0.4870229661464691,4
4060,0.5552474856376648,0
1831,0.8432880640029907,4
7143,0.6461480259895325,0
2009,0.3881458044052124,2
3747,0.7040530443191528,0
5086,0.6936402916908264,0
3817,0.408809095621109,1
4773,0.36925944685935974,2
5079,0.7943135499954224,2
8610,0.250417023897171,3
5655,0.5260454416275024,0
4523,0.5542470812797546,0
9208,0.7421438694000244,2
2900,0.8209799528121948,0
3998,0.8177798986434937,4
13388,0.5893878936767578,0
5743,0.4719039499759674,0
3653,0.5170274376869202,2
7722,0.4265654385089874,2
4538,0.4344284236431122,0
3335,0.8946086168289185,1
